Name,X,Y
N_19,-124.1939548,54.71535265
N_21,-124.1600329,54.70444771
N_01,-124.3297065,54.75883923
N_02,-124.3292541,54.73653372
N_03,-124.2973913,54.72605383
N_04,-124.295513,54.74839068
N_05,-124.2967697,54.76882065
N_06,-124.2624078,54.78174387
N_07,-124.2605261,54.75901977
N_08,-124.2632766,54.73815353
N_09,-124.2626623,54.71516213
N_10,-124.2272162,54.70378605
N_11,-124.2273076,54.7265342
N_12,-124.2291167,54.74919668
N_13,-124.2300219,54.77089894
N_14,-124.2357728,54.78814261
N_15,-124.1951542,54.80023946
N_16,-124.206021,54.78250226
N_17,-124.1989086,54.75767146
N_18,-124.194487,54.73776528
N_22,-124.1607615,54.72668465
N_23,-124.1624531,54.74995944
N_24,-124.1624517,54.77220727
N_25,-124.1619508,54.79376578
14_01,-124.597009,54.69835399
14_02,-124.575109,54.68143201
14_03,-124.554299,54.694947
14_04,-124.55878,54.66954396
14_05,-124.545403,54.65093798
14_06,-124.5525,54.63440702
14_07,-124.521929,54.61910703
14_08,-124.520735,54.63955401
14_09,-124.5225101,54.665697
14_10,-124.530142,54.68166403
14_11,-124.524553,54.70641998
14_12,-124.488323,54.69552199
14_13,-124.486279,54.67388302
14_14,-124.489048,54.65133201
14_15,-124.483123,54.63403998
14_16,-124.442162,54.64342997
14_17,-124.452245,54.66931798
14_18,-124.451659,54.68310798
14_19,-124.422055,54.67434403
14_20,-124.415948,54.65593603
14_21,-124.4066054,54.63250408
14_22,-124.381498,54.61636196
14_23,-124.3848987,54.6411309
14_24,-124.396552,54.66112602
14_25,-124.354979,54.65350896
14_26,-124.351999,54.63416303
14_27,-124.3547049,54.61247778
14_28,-124.319953,54.61801303
14_29,-124.317557,54.64065003
14_30,-124.319026,54.66478698
14_31,-124.309451,54.68186603
14_32,-124.297318,54.70322999
14_33,-124.285655,54.67436498
14_34,-124.284505,54.65598397
14_35,-124.284862,54.63188298
14_36,-124.289837,54.60915696
14_37,-124.24571,54.64373197
14_38,-124.255719,54.66807503
14_39,-124.253667,54.68348198
14_40,-124.225901,54.67353702
14_41,-124.214196,54.65342598
14_42,-124.5804574,54.6633173
